date,amount,flow_type,category,sub_category
2023-07-01,750000,income,revenue,product_sales
2023-07-03,25000,income,revenue,service_retainer
2023-07-05,280000,expense,fixed,cogs
2023-07-08,90000,expense,fixed,payroll
2023-07-10,35000,expense,fixed,rent
2023-07-15,35000,expense,discretionary,marketing
2023-07-20,25000,expense,growth,r_and_d
2023-07-25,20000,debt_payment,loan,term_loan
2023-08-01,790000,income,revenue,product_sales
2023-08-03,28000,income,revenue,service_retainer
2023-08-05,295000,expense,fixed,cogs
2023-08-08,90000,expense,fixed,payroll
2023-08-10,35000,expense,fixed,rent
2023-08-15,38000,expense,discretionary,marketing
2023-08-20,28000,expense,growth,r_and_d
2023-08-25,20000,debt_payment,loan,term_loan
2023-09-01,820000,income,revenue,product_sales
2023-09-03,30000,income,revenue,service_retainer
2023-09-05,305000,expense,fixed,cogs
2023-09-08,92000,expense,fixed,payroll
2023-09-10,35000,expense,fixed,rent
2023-09-15,42000,expense,discretionary,marketing
2023-09-20,30000,expense,growth,r_and_d
2023-09-25,20000,debt_payment,loan,term_loan
2023-10-01,870000,income,revenue,product_sales
2023-10-03,32000,income,revenue,service_retainer
2023-10-05,320000,expense,fixed,cogs
2023-10-08,92000,expense,fixed,payroll
2023-10-10,35000,expense,fixed,rent
2023-10-15,45000,expense,discretionary,marketing
2023-10-20,32000,expense,growth,r_and_d
2023-10-25,20000,debt_payment,loan,term_loan
2023-11-01,910000,income,revenue,product_sales
2023-11-03,35000,income,revenue,service_retainer
2023-11-05,338000,expense,fixed,cogs
2023-11-08,94000,expense,fixed,payroll
2023-11-10,35000,expense,fixed,rent
2023-11-15,48000,expense,discretionary,marketing
2023-11-20,35000,expense,growth,r_and_d
2023-11-25,20000,debt_payment,loan,term_loan
2023-12-01,980000,income,revenue,product_sales
2023-12-03,40000,income,revenue,service_retainer
2023-12-05,360000,expense,fixed,cogs
2023-12-08,96000,expense,fixed,payroll
2023-12-10,35000,expense,fixed,rent
2023-12-15,55000,expense,discretionary,marketing
2023-12-20,40000,expense,growth,r_and_d
2023-12-25,20000,debt_payment,loan,term_loan
